<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2024.08.16,15:01:00,147.984,148.013,147.96,148.013,61,0,3
2024.08.16,15:02:00,148.012,148.032,147.988,147.992,58,0,5
2024.08.16,15:03:00,147.994,148.001,147.929,147.933,79,0,5
2024.08.16,15:04:00,147.939,147.948,147.905,147.922,83,0,5
2024.08.16,15:05:00,147.923,147.978,147.891,147.965,86,0,5
2024.08.16,15:06:00,147.964,147.992,147.963,147.968,78,0,5
2024.08.16,15:07:00,147.969,148.008,147.966,147.985,70,0,5
2024.08.16,15:08:00,147.983,147.99,147.969,147.981,71,0,5
2024.08.16,15:09:00,147.982,148.017,147.976,148.003,80,0,2
2024.08.16,15:10:00,148.001,148.027,147.985,148.023,69,0,2
2024.08.16,15:11:00,148.023,148.052,148.012,148.015,64,0,2
2024.08.16,15:12:00,148.016,148.032,148.014,148.028,40,0,7
2024.08.16,15:13:00,148.028,148.043,148.019,148.02,31,0,6
2024.08.16,15:14:00,148.02,148.077,148.016,148.073,48,0,6
2024.08.16,15:15:00,148.073,148.084,148.058,148.059,30,0,6
2024.08.16,15:16:00,148.059,148.059,148.031,148.031,55,0,5
2024.08.16,15:17:00,148.031,148.054,148.017,148.023,79,0,5
2024.08.16,15:18:00,148.023,148.065,148.018,148.065,66,0,5
2024.08.16,15:19:00,148.063,148.063,148.023,148.024,64,0,5
2024.08.16,15:20:00,148.028,148.054,148.015,148.054,73,0,5
2024.08.16,15:21:00,148.053,148.063,148.026,148.049,63,0,5
2024.08.16,15:22:00,148.052,148.102,148.038,148.096,64,0,5
2024.08.16,15:23:00,148.096,148.104,148.046,148.051,61,0,5
2024.08.16,15:24:00,148.052,148.083,148.052,148.062,41,0,5
2024.08.16,15:25:00,148.062,148.063,148.006,148.006,56,0,5
2024.08.16,15:26:00,148.002,148.002,147.972,147.985,54,0,5
2024.08.16,15:27:00,147.984,148.026,147.981,148.017,58,0,5
2024.08.16,15:28:00,148.017,148.05,148.017,148.027,46,0,5
2024.08.16,15:29:00,148.029,148.052,148.018,148.018,34,0,5
2024.08.16,15:30:00,148.011,148.011,147.77,147.781,88,0,5
2024.08.16,15:31:00,147.786,147.786,147.632,147.773,96,0,2
2024.08.16,15:32:00,147.771,147.774,147.712,147.723,74,0,2
2024.08.16,15:33:00,147.718,147.768,147.709,147.758,78,0,2
2024.08.16,15:34:00,147.766,147.78,147.718,147.758,79,0,5
2024.08.16,15:35:00,147.758,147.801,147.746,147.792,76,0,6
2024.08.16,15:36:00,147.792,147.818,147.781,147.81,63,0,5
2024.08.16,15:37:00,147.811,147.819,147.761,147.777,64,0,4
2024.08.16,15:38:00,147.768,147.819,147.734,147.811,64,0,6
2024.08.16,15:39:00,147.813,147.845,147.81,147.813,68,0,6
2024.08.16,15:40:00,147.813,147.84,147.809,147.81,62,0,6
2024.08.16,15:41:00,147.811,147.811,147.748,147.78,51,0,5
2024.08.16,15:42:00,147.779,147.83,147.778,147.823,68,0,3
2024.08.16,15:43:00,147.824,147.874,147.823,147.862,63,0,5
2024.08.16,15:44:00,147.864,147.884,147.855,147.88,55,0,5
2024.08.16,15:45:00,147.88,147.918,147.877,147.91,58,0,5
2024.08.16,15:46:00,147.91,147.928,147.892,147.909,48,0,5
2024.08.16,15:47:00,147.909,147.91,147.843,147.853,59,0,5
2024.08.16,15:48:00,147.848,147.89,147.842,147.856,69,0,5
2024.08.16,15:49:00,147.857,147.878,147.82,147.823,67,0,5
2024.08.16,15:50:00,147.825,147.866,147.812,147.832,72,0,5
2024.08.16,15:51:00,147.832,147.844,147.803,147.818,74,0,5
2024.08.16,15:52:00,147.819,147.856,147.814,147.855,63,0,5
2024.08.16,15:53:00,147.855,147.865,147.833,147.833,62,0,5
2024.08.16,15:54:00,147.832,147.832,147.786,147.787,73,0,5
2024.08.16,15:55:00,147.786,147.797,147.747,147.778,63,0,5
2024.08.16,15:56:00,147.778,147.791,147.751,147.769,67,0,5
2024.08.16,15:57:00,147.769,147.812,147.766,147.778,70,0,5
2024.08.16,15:58:00,147.777,147.781,147.699,147.7,58,0,5
2024.08.16,15:59:00,147.702,147.704,147.656,147.682,68,0,5
2024.08.16,16:00:00,147.678,147.692,147.625,147.63,79,0,5
2024.08.16,16:01:00,147.645,147.736,147.641,147.716,87,0,5
2024.08.16,16:02:00,147.717,147.722,147.669,147.682,81,0,5
